"cstm_cd","eigyosyo_cd","sales_date"
"02000026","00000002","2023-09-17"
"02000026","00000002","2023-09-17"
"02000026","00000002","2023-09-17"
"02000026","00000002","2023-09-17"
"02000026","00000002","2023-09-17"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-18"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-19"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-20"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
"02000026","00000002","2023-09-21"
